Year,CountryName,Region,IncomeGroup,NoOfVisitors
2000,Lao PDR,East Asia & Pacific,Lower middle income,191000
2000,Lebanon,Middle East & North Africa,Upper middle income,742000
2000,Liberia,Sub-Saharan Africa,Low income,0
2000,Libya,Middle East & North Africa,Upper middle income,0
2000,St. Lucia,Latin America & Caribbean,Upper middle income,270000
2000,Latin America & Caribbean (all income levels),Others,Others,55824947
2000,Least developed countries: UN classification,Others,Others,6169305
2000,Low income,Others,Others,6515218
2000,Liechtenstein,Europe & Central Asia,High income,62000
2000,Sri Lanka,South Asia,Lower middle income,400000
2000,Lower middle income,Others,Others,39867825
2000,Low & middle income,Others,Others,177761165
2000,Lesotho,Sub-Saharan Africa,Lower middle income,302000
2000,Lithuania,Europe & Central Asia,High income,1083000
2000,Luxembourg,Europe & Central Asia,High income,852000
2000,Latvia,Europe & Central Asia,High income,509000
2000,"Macao SAR, China",East Asia & Pacific,High income,5197000
2000,St. Martin (French part),Latin America & Caribbean,High income,0
2000,Morocco,Middle East & North Africa,Lower middle income,4278000
2000,Monaco,Europe & Central Asia,High income,300000
2000,Moldova,Europe & Central Asia,Lower middle income,18000
2000,Madagascar,Sub-Saharan Africa,Low income,160000
2000,Maldives,South Asia,Upper middle income,467000
2000,Middle East & North Africa (all income levels),Others,Others,44299952
2000,Mexico,Latin America & Caribbean,Upper middle income,20641000
2000,Marshall Islands,East Asia & Pacific,Upper middle income,5000
2000,Middle income,Others,Others,169476283
2000,"Macedonia, FYR",Europe & Central Asia,Upper middle income,224000
2000,Mali,Sub-Saharan Africa,Low income,86000
2000,Malta,Middle East & North Africa,High income,1216000
2000,Myanmar,East Asia & Pacific,Lower middle income,416000
2000,Middle East & North Africa (developing only),Others,Others,23614150
2000,Montenegro,Europe & Central Asia,Upper middle income,0
2000,Mongolia,East Asia & Pacific,Upper middle income,137000
2000,Northern Mariana Islands,East Asia & Pacific,High income,517000
2000,Mozambique,Sub-Saharan Africa,Low income,0
2000,Mauritania,Sub-Saharan Africa,Lower middle income,30000
2000,Mauritius,Sub-Saharan Africa,Upper middle income,656000
2000,Malawi,Sub-Saharan Africa,Low income,228000
2000,Malaysia,East Asia & Pacific,Upper middle income,10222000
2000,North America,Others,Others,71197000
2000,Namibia,Sub-Saharan Africa,Upper middle income,656000
2000,New Caledonia,East Asia & Pacific,High income,110000
2000,Niger,Sub-Saharan Africa,Low income,50000
2000,Nigeria,Sub-Saharan Africa,Lower middle income,813000
2000,Nicaragua,Latin America & Caribbean,Lower middle income,486000
2000,Netherlands,Europe & Central Asia,High income,10003000
2000,High income: nonOECD,Others,Others,91033999
2000,Norway,Europe & Central Asia,High income,3104000
2000,Nepal,South Asia,Low income,464000
2000,New Zealand,East Asia & Pacific,High income,1780000
2000,High income: OECD,Others,Others,426544129
2000,OECD members,Others,Others,456372068
2000,Oman,Middle East & North Africa,High income,0
2000,Other small states,Others,Others,4537247
2000,Pakistan,South Asia,Lower middle income,557000
2000,Panama,Latin America & Caribbean,Upper middle income,484000
2000,Peru,Latin America & Caribbean,Upper middle income,800000
2000,Philippines,East Asia & Pacific,Lower middle income,1992000
2000,Palau,East Asia & Pacific,Upper middle income,58000
2000,Papua New Guinea,East Asia & Pacific,Lower middle income,58000
2000,Poland,Europe & Central Asia,High income,17400000
2000,Puerto Rico,Latin America & Caribbean,High income,3341000
2000,"Korea, Dem. People’s Rep.",East Asia & Pacific,Low income,0
2000,Portugal,Europe & Central Asia,High income,5599000
2000,Paraguay,Latin America & Caribbean,Upper middle income,289000
2000,Pacific island small states,Others,Others,570491
2000,French Polynesia,East Asia & Pacific,High income,252000
2000,Qatar,Middle East & North Africa,High income,378000
2000,Romania,Europe & Central Asia,Upper middle income,5264000
2000,Russian Federation,Europe & Central Asia,High income,21169000
2000,Rwanda,Sub-Saharan Africa,Low income,104000
2000,South Asia,Others,Others,4839396
2000,Saudi Arabia,Middle East & North Africa,High income,6585000
2000,Sudan,Sub-Saharan Africa,Lower middle income,38000
2000,Senegal,Sub-Saharan Africa,Lower middle income,0
2000,Singapore,East Asia & Pacific,High income,6062000
2000,Solomon Islands,East Asia & Pacific,Lower middle income,5000
2000,Sierra Leone,Sub-Saharan Africa,Low income,16000
2000,El Salvador,Latin America & Caribbean,Lower middle income,795000
2000,San Marino,Europe & Central Asia,High income,43000
2000,Somalia,Sub-Saharan Africa,Low income,0
2000,Serbia,Europe & Central Asia,Upper middle income,0
2000,Sub-Saharan Africa (developing only),Others,Others,18354591
2000,South Sudan,Sub-Saharan Africa,Low income,0
2000,Sub-Saharan Africa (all income levels),Others,Others,18514802
2000,Small states,Others,Others,10319492
2000,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,7000
2000,Suriname,Latin America & Caribbean,Upper middle income,57000
2000,Slovak Republic,Europe & Central Asia,High income,0
2000,Slovenia,Europe & Central Asia,High income,1090000
2000,Sweden,Europe & Central Asia,High income,3828000
2000,Swaziland,Sub-Saharan Africa,Lower middle income,281000
2000,Sint Maarten (Dutch part),Latin America & Caribbean,High income,432000
2000,Seychelles,Sub-Saharan Africa,High income,130000
2000,Syrian Arab Republic,Middle East & North Africa,Lower middle income,2100000
2000,Turks and Caicos Islands,Latin America & Caribbean,High income,152000
2000,Chad,Sub-Saharan Africa,Low income,0
2000,Togo,Sub-Saharan Africa,Low income,60000
2000,Thailand,East Asia & Pacific,Upper middle income,9579000
2000,Tajikistan,Europe & Central Asia,Lower middle income,0
2000,Turkmenistan,Europe & Central Asia,Upper middle income,3000
2000,Timor-Leste,East Asia & Pacific,Lower middle income,0
2000,Tonga,East Asia & Pacific,Upper middle income,35000
2000,Trinidad and Tobago,Latin America & Caribbean,High income,399000
2000,Tunisia,Middle East & North Africa,Upper middle income,5058000
2000,Turkey,Europe & Central Asia,Upper middle income,9586000
2000,Tuvalu,East Asia & Pacific,Upper middle income,1100
2000,Tanzania,Sub-Saharan Africa,Low income,459000
2000,Uganda,Sub-Saharan Africa,Low income,193000
2000,Ukraine,Europe & Central Asia,Lower middle income,6431000
2000,Upper middle income,Others,Others,129051642
2000,Uruguay,Latin America & Caribbean,High income,1968000
2000,United States,North America,High income,51238000
2000,Uzbekistan,Europe & Central Asia,Lower middle income,302000
2000,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,73000
2000,"Venezuela, RB",Latin America & Caribbean,High income,469000
2000,Virgin Islands (U.S.),Latin America & Caribbean,High income,546000
2000,Vietnam,East Asia & Pacific,Lower middle income,2140000
2000,Vanuatu,East Asia & Pacific,Lower middle income,58000
2000,West Bank and Gaza,Middle East & North Africa,Lower middle income,310000
2000,World,Others,Others,706484519
2000,Samoa,East Asia & Pacific,Lower middle income,88000
2000,"Yemen, Rep.",Middle East & North Africa,Lower middle income,73000
2000,South Africa,Sub-Saharan Africa,Upper middle income,5872000
2000,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,103000
2000,Zambia,Sub-Saharan Africa,Lower middle income,457000
2000,Zimbabwe,Sub-Saharan Africa,Low income,1967000
2001,Aruba,Latin America & Caribbean,High income,691000
2001,Andorra,Europe & Central Asia,High income,3516000
2001,Afghanistan,South Asia,Low income,0
2001,Angola,Sub-Saharan Africa,Upper middle income,67000
2001,Albania,Europe & Central Asia,Upper middle income,0
2001,Arab World,Others,Others,41731341
2001,United Arab Emirates,Middle East & North Africa,High income,4134000
2001,Argentina,Latin America & Caribbean,High income,2620000
2001,Armenia,Europe & Central Asia,Lower middle income,123000
2001,American Samoa,East Asia & Pacific,Upper middle income,36000
2001,Antigua and Barbuda,Latin America & Caribbean,High income,215000
2001,Australia,East Asia & Pacific,High income,4856000
2001,Austria,Europe & Central Asia,High income,18180000
2001,Azerbaijan,Europe & Central Asia,Upper middle income,0
2001,Burundi,Sub-Saharan Africa,Low income,36000
2001,Belgium,Europe & Central Asia,High income,6452000
2001,Benin,Sub-Saharan Africa,Low income,88000
2001,Burkina Faso,Sub-Saharan Africa,Low income,128000
2001,Bangladesh,South Asia,Lower middle income,207000
2001,Bulgaria,Europe & Central Asia,Upper middle income,3186000
2001,Bahrain,Middle East & North Africa,High income,4388000
2001,"Bahamas, The",Latin America & Caribbean,High income,1538000
2001,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,139000
2001,Belarus,Europe & Central Asia,Upper middle income,61000
2001,Belize,Latin America & Caribbean,Upper middle income,196000
2001,Bermuda,North America,High income,278000
2001,Bolivia,Latin America & Caribbean,Lower middle income,316000
2001,Brazil,Latin America & Caribbean,Upper middle income,4773000
2001,Barbados,Latin America & Caribbean,High income,507000
2001,Brunei Darussalam,East Asia & Pacific,High income,0
2001,Bhutan,South Asia,Lower middle income,6000
2001,Botswana,Sub-Saharan Africa,Upper middle income,1193000
2001,Central African Republic,Sub-Saharan Africa,Low income,10000
2001,Canada,North America,High income,19679000
2001,Central Europe and the Baltics,Others,Others,0
2001,Switzerland,Europe & Central Asia,High income,7455000
2001,Channel Islands,Europe & Central Asia,High income,0
2001,Chile,Latin America & Caribbean,High income,1723000
2001,China,East Asia & Pacific,Upper middle income,33167000
2001,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,0
2001,Cameroon,Sub-Saharan Africa,Lower middle income,0
2001,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,27000
2001,Colombia,Latin America & Caribbean,Upper middle income,616000
2001,Comoros,Sub-Saharan Africa,Low income,19000
2001,Cabo Verde,Sub-Saharan Africa,Lower middle income,134000
2001,Costa Rica,Latin America & Caribbean,Upper middle income,1131000
2001,Caribbean small states,Others,Others,4850000
2001,Cuba,Latin America & Caribbean,Upper middle income,1736000
2001,Curacao,Latin America & Caribbean,High income,205000
2001,Cayman Islands,Latin America & Caribbean,High income,334000
2001,Cyprus,Europe & Central Asia,High income,2697000
2001,Czech Republic,Europe & Central Asia,High income,0
2001,Germany,Europe & Central Asia,High income,17861000
2001,Djibouti,Middle East & North Africa,Lower middle income,22000
2001,Dominica,Latin America & Caribbean,Upper middle income,66000
2001,Denmark,Europe & Central Asia,High income,3684000
2001,Dominican Republic,Latin America & Caribbean,Upper middle income,2882000
2001,Algeria,Middle East & North Africa,Upper middle income,901000
2001,East Asia & Pacific (developing only),Others,Others,68346957
2001,East Asia & Pacific (all income levels),Others,Others,110846355
2001,Europe & Central Asia (developing only),Others,Others,33522827
2001,Europe & Central Asia (all income levels),Others,Others,400087321
2001,Ecuador,Latin America & Caribbean,Upper middle income,641000
2001,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,4357000
2001,Euro area,Others,Others,258613188
2001,Eritrea,Sub-Saharan Africa,Low income,113000
2001,Spain,Europe & Central Asia,High income,48565000
2001,Estonia,Europe & Central Asia,High income,1320000
2001,Ethiopia,Sub-Saharan Africa,Low income,148000
2001,European Union,Others,Others,336061384
2001,Fragile and conflict affected situations,Others,Others,9556407
2001,Finland,Europe & Central Asia,High income,2826000
2001,Fiji,East Asia & Pacific,Upper middle income,348000
2001,France,Europe & Central Asia,High income,75202000
2001,Faroe Islands,Europe & Central Asia,High income,0
2001,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,15000
2001,Gabon,Sub-Saharan Africa,Upper middle income,169000
2001,United Kingdom,Europe & Central Asia,High income,20982000
2001,Georgia,Europe & Central Asia,Lower middle income,302000
2001,Ghana,Sub-Saharan Africa,Lower middle income,439000
2001,Guinea,Sub-Saharan Africa,Low income,38000
2001,"Gambia, The",Sub-Saharan Africa,Low income,57000
2001,Guinea-Bissau,Sub-Saharan Africa,Low income,8000
2001,Equatorial Guinea,Sub-Saharan Africa,High income,0
2001,Greece,Europe & Central Asia,High income,14057000
2001,Grenada,Latin America & Caribbean,Upper middle income,123000
2001,Greenland,Europe & Central Asia,High income,0
2001,Guatemala,Latin America & Caribbean,Lower middle income,0
2001,Guam,East Asia & Pacific,High income,1159000
2001,Guyana,Latin America & Caribbean,Lower middle income,99000
2001,High income,Others,Others,507114355
2001,"Hong Kong SAR, China",East Asia & Pacific,High income,8878000
2001,Honduras,Latin America & Caribbean,Lower middle income,518000
2001,Heavily indebted poor countries (HIPC),Others,Others,6568337
2001,Croatia,Europe & Central Asia,High income,6544000
2001,Haiti,Latin America & Caribbean,Low income,142000
2001,Hungary,Europe & Central Asia,High income,0
2001,Indonesia,East Asia & Pacific,Lower middle income,5153000
2001,Isle of Man,Europe & Central Asia,High income,0
2001,India,South Asia,Lower middle income,2537000
2001,Ireland,Europe & Central Asia,High income,6353000
2001,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,1402000
2001,Iraq,Middle East & North Africa,Upper middle income,127000
2001,Iceland,Europe & Central Asia,High income,301000
2001,Israel,Middle East & North Africa,High income,1196000
2001,Italy,Europe & Central Asia,High income,39563000
2001,Jamaica,Latin America & Caribbean,Upper middle income,1277000
2001,Jordan,Middle East & North Africa,Upper middle income,1672000
2001,Japan,East Asia & Pacific,High income,4772000
2001,Kazakhstan,Europe & Central Asia,Upper middle income,1845000
2001,Kenya,Sub-Saharan Africa,Lower middle income,841000
2001,Kyrgyz Republic,Europe & Central Asia,Lower middle income,99000
2001,Cambodia,East Asia & Pacific,Low income,605000
2001,Kiribati,East Asia & Pacific,Lower middle income,4600
2001,St. Kitts and Nevis,Latin America & Caribbean,High income,71000
2001,"Korea, Rep.",East Asia & Pacific,High income,5147000
2001,Kosovo,Europe & Central Asia,Lower middle income,0
2001,Kuwait,Middle East & North Africa,High income,73000
2001,Latin America & Caribbean (developing only),Others,Others,38676532
2001,Lao PDR,East Asia & Pacific,Lower middle income,173000
2001,Lebanon,Middle East & North Africa,Upper middle income,837000
2001,Liberia,Sub-Saharan Africa,Low income,0
2001,Libya,Middle East & North Africa,Upper middle income,0
2001,St. Lucia,Latin America & Caribbean,Upper middle income,250000
2001,Latin America & Caribbean (all income levels),Others,Others,54272350
2001,Least developed countries: UN classification,Others,Others,6477590
2001,Low income,Others,Others,7018550
2001,Liechtenstein,Europe & Central Asia,High income,56000
2001,Sri Lanka,South Asia,Lower middle income,337000
2001,Lower middle income,Others,Others,41874950
2001,Low & middle income,Others,Others,186472222
2001,Lesotho,Sub-Saharan Africa,Lower middle income,295000
2001,Lithuania,Europe & Central Asia,High income,1271000
2001,Luxembourg,Europe & Central Asia,High income,836000
2001,Latvia,Europe & Central Asia,High income,591000
2001,"Macao SAR, China",East Asia & Pacific,High income,5842000
2001,St. Martin (French part),Latin America & Caribbean,High income,0
2001,Morocco,Middle East & North Africa,Lower middle income,4380000
2001,Monaco,Europe & Central Asia,High income,270000
2001,Moldova,Europe & Central Asia,Lower middle income,16000
2001,Madagascar,Sub-Saharan Africa,Low income,170000
2001,Maldives,South Asia,Upper middle income,461000
2001,Middle East & North Africa (all income levels),Others,Others,43698776
2001,Mexico,Latin America & Caribbean,Upper middle income,19810000
2001,Marshall Islands,East Asia & Pacific,Upper middle income,5000
2001,Middle income,Others,Others,177633289
2001,"Macedonia, FYR",Europe & Central Asia,Upper middle income,99000
2001,Mali,Sub-Saharan Africa,Low income,89000
2001,Malta,Middle East & North Africa,High income,1180000
2001,Myanmar,East Asia & Pacific,Lower middle income,475000
2001,Middle East & North Africa (developing only),Others,Others,23431265
2001,Montenegro,Europe & Central Asia,Upper middle income,0
2001,Mongolia,East Asia & Pacific,Upper middle income,166000
2001,Northern Mariana Islands,East Asia & Pacific,High income,438000
2001,Mozambique,Sub-Saharan Africa,Low income,323000
2001,Mauritania,Sub-Saharan Africa,Lower middle income,0
2001,Mauritius,Sub-Saharan Africa,Upper middle income,660000
2001,Malawi,Sub-Saharan Africa,Low income,266000
2001,Malaysia,East Asia & Pacific,Upper middle income,12775000
2001,North America,Others,Others,66884000
2001,Namibia,Sub-Saharan Africa,Upper middle income,670000
2001,New Caledonia,East Asia & Pacific,High income,101000
2001,Niger,Sub-Saharan Africa,Low income,52000
2001,Nigeria,Sub-Saharan Africa,Lower middle income,850000
2001,Nicaragua,Latin America & Caribbean,Lower middle income,483000
2001,Netherlands,Europe & Central Asia,High income,9500000
2001,High income: nonOECD,Others,Others,94129566
2001,Norway,Europe & Central Asia,High income,3073000
2001,Nepal,South Asia,Low income,361000
2001,New Zealand,East Asia & Pacific,High income,1900000
2001,High income: OECD,Others,Others,413437819
2001,OECD members,Others,Others,443721323
2001,Oman,Middle East & North Africa,High income,829000
2001,Other small states,Others,Others,4653965
2001,Pakistan,South Asia,Lower middle income,500000
2001,Panama,Latin America & Caribbean,Upper middle income,519000
2001,Peru,Latin America & Caribbean,Upper middle income,901000
2001,Philippines,East Asia & Pacific,Lower middle income,1797000
2001,Palau,East Asia & Pacific,Upper middle income,54000
2001,Papua New Guinea,East Asia & Pacific,Lower middle income,54000
2001,Poland,Europe & Central Asia,High income,15000000
2001,Puerto Rico,Latin America & Caribbean,High income,3551000
2001,"Korea, Dem. People’s Rep.",East Asia & Pacific,Low income,0
2001,Portugal,Europe & Central Asia,High income,5392000
2001,Paraguay,Latin America & Caribbean,Upper middle income,279000
2001,Pacific island small states,Others,Others,606645
2001,French Polynesia,East Asia & Pacific,High income,228000
2001,Qatar,Middle East & North Africa,High income,376000
2001,Romania,Europe & Central Asia,Upper middle income,4938000
2001,Russian Federation,Europe & Central Asia,High income,21595000
2001,Rwanda,Sub-Saharan Africa,Low income,113000
2001,South Asia,Others,Others,4497660
2001,Saudi Arabia,Middle East & North Africa,High income,6727000
2001,Sudan,Sub-Saharan Africa,Lower middle income,50000
2001,Senegal,Sub-Saharan Africa,Lower middle income,0
2001,Singapore,East Asia & Pacific,High income,5857000
2001,Solomon Islands,East Asia & Pacific,Lower middle income,0
2001,Sierra Leone,Sub-Saharan Africa,Low income,24000
2001,El Salvador,Latin America & Caribbean,Lower middle income,735000
2001,San Marino,Europe & Central Asia,High income,49000
2001,Somalia,Sub-Saharan Africa,Low income,0
2001,Serbia,Europe & Central Asia,Upper middle income,0
2001,Sub-Saharan Africa (developing only),Others,Others,18929981
2001,South Sudan,Sub-Saharan Africa,Low income,0
2001,Sub-Saharan Africa (all income levels),Others,Others,19090493
2001,Small states,Others,Others,10317117
2001,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,8000
2001,Suriname,Latin America & Caribbean,Upper middle income,54000
2001,Slovak Republic,Europe & Central Asia,High income,0
2001,Slovenia,Europe & Central Asia,High income,1219000
2001,Sweden,Europe & Central Asia,High income,4108000
2001,Swaziland,Sub-Saharan Africa,Lower middle income,283000
2001,Sint Maarten (Dutch part),Latin America & Caribbean,High income,403000
2001,Seychelles,Sub-Saharan Africa,High income,130000
2001,Syrian Arab Republic,Middle East & North Africa,Lower middle income,2192000
2001,Turks and Caicos Islands,Latin America & Caribbean,High income,166000
2001,Chad,Sub-Saharan Africa,Low income,0
2001,Togo,Sub-Saharan Africa,Low income,57000
2001,Thailand,East Asia & Pacific,Upper middle income,10133000
2001,Tajikistan,Europe & Central Asia,Lower middle income,0
2001,Turkmenistan,Europe & Central Asia,Upper middle income,5000
2001,Timor-Leste,East Asia & Pacific,Lower middle income,0
2001,Tonga,East Asia & Pacific,Upper middle income,32000
2001,Trinidad and Tobago,Latin America & Caribbean,High income,383000
2001,Tunisia,Middle East & North Africa,Upper middle income,5387000
2001,Turkey,Europe & Central Asia,Upper middle income,10783000
2001,Tuvalu,East Asia & Pacific,Upper middle income,1100
2001,Tanzania,Sub-Saharan Africa,Low income,501000
2001,Uganda,Sub-Saharan Africa,Low income,205000
2001,Ukraine,Europe & Central Asia,Lower middle income,9174000
2001,Upper middle income,Others,Others,135176004
2001,Uruguay,Latin America & Caribbean,High income,1892000
2001,United States,North America,High income,46927000
2001,Uzbekistan,Europe & Central Asia,Lower middle income,345000
2001,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,71000
2001,"Venezuela, RB",Latin America & Caribbean,High income,584000
2001,Virgin Islands (U.S.),Latin America & Caribbean,High income,527000
2001,Vietnam,East Asia & Pacific,Lower middle income,2330000
2001,Vanuatu,East Asia & Pacific,Lower middle income,53000
2001,West Bank and Gaza,Middle East & North Africa,Lower middle income,43000
2001,World,Others,Others,705503160
2001,Samoa,East Asia & Pacific,Lower middle income,88000
2001,"Yemen, Rep.",Middle East & North Africa,Lower middle income,76000
2001,South Africa,Sub-Saharan Africa,Upper middle income,5787000
2001,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,55000
2001,Zambia,Sub-Saharan Africa,Lower middle income,492000
2001,Zimbabwe,Sub-Saharan Africa,Low income,2217000
2002,Aruba,Latin America & Caribbean,High income,643000
2002,Andorra,Europe & Central Asia,High income,3387000
2002,Afghanistan,South Asia,Low income,0
2002,Angola,Sub-Saharan Africa,Upper middle income,91000
2002,Albania,Europe & Central Asia,Upper middle income,0
2002,Arab World,Others,Others,46836887
2002,United Arab Emirates,Middle East & North Africa,High income,5445000
2002,Argentina,Latin America & Caribbean,High income,2820000
2002,Armenia,Europe & Central Asia,Lower middle income,162000
2002,American Samoa,East Asia & Pacific,Upper middle income,0
2002,Antigua and Barbuda,Latin America & Caribbean,High income,218000
2002,Australia,East Asia & Pacific,High income,4841000
2002,Austria,Europe & Central Asia,High income,18611000
2002,Azerbaijan,Europe & Central Asia,Upper middle income,576000
2002,Burundi,Sub-Saharan Africa,Low income,74000
2002,Belgium,Europe & Central Asia,High income,6720000
